GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Interview Tracker,com.interview.tracker.entity,Feedback,0,73,0,0,0,21,0,21,0,21
Interview Tracker,com.interview.tracker.entity,User,1,161,3,5,0,41,3,40,0,39
Interview Tracker,com.interview.tracker.entity,Panel,0,52,0,0,0,15,0,15,0,15
Interview Tracker,com.interview.tracker.entity,JobDescription,0,87,0,0,0,25,0,25,0,25
Interview Tracker,com.interview.tracker.entity,Interview,0,99,0,0,0,28,0,27,0,27
Interview Tracker,com.interview.tracker.entity,Candidate,0,171,0,0,0,49,0,49,0,49
Interview Tracker,com.interview.tracker.controller,AuthController,0,71,0,0,0,15,0,10,0,10
Interview Tracker,com.interview.tracker.controller,InterviewController,5,164,6,24,0,33,6,16,0,7
Interview Tracker,com.interview.tracker.controller,JobDescriptionController,3,35,1,1,1,10,1,5,0,5
Interview Tracker,com.interview.tracker.controller,CandidateController,12,35,0,2,2,11,2,3,2,2
Interview Tracker,com.interview.tracker.controller,FeedbackController,0,18,0,0,0,5,0,3,0,3
Interview Tracker,com.interview.tracker.dto,RegisterRequest,0,80,0,0,0,23,0,23,0,23
Interview Tracker,com.interview.tracker.dto,VerifyEmailRequest,0,10,0,0,0,3,0,3,0,3
Interview Tracker,com.interview.tracker.dto,SetPasswordRequest,17,0,0,0,5,0,5,0,5,0
Interview Tracker,com.interview.tracker.dto,CreateTestUserRequest,0,59,0,0,0,17,0,17,0,17
Interview Tracker,com.interview.tracker.dto,AuthResponse,0,96,0,0,0,33,0,16,0,16
Interview Tracker,com.interview.tracker.dto,AssignPanelRequest,0,52,0,0,0,15,0,15,0,15
Interview Tracker,com.interview.tracker.dto,EmailRequest,0,10,0,0,0,3,0,3,0,3
Interview Tracker,com.interview.tracker.dto,ReferralCandidateRequest,0,45,0,0,0,13,0,13,0,13
Interview Tracker,com.interview.tracker.dto,CreatePanelRequest,0,45,0,0,0,13,0,13,0,13
Interview Tracker,com.interview.tracker.dto,LoginRequest,0,17,0,0,0,5,0,5,0,5
Interview Tracker,com.interview.tracker.constants,StageStatus,0,21,0,0,0,4,0,1,0,1
Interview Tracker,com.interview.tracker.constants,Stage,0,45,0,0,0,8,0,1,0,1
Interview Tracker,com.interview.tracker.exception,GlobalExceptionHandler,6,97,2,2,1,19,3,7,1,7
Interview Tracker,com.interview.tracker.service,JwtService,0,43,0,0,0,14,0,2,0,2
Interview Tracker,com.interview.tracker.service,SecurityUtil,6,95,7,17,2,19,7,8,0,3
Interview Tracker,com.interview.tracker.service,CandidateService,7,330,12,54,1,68,12,35,0,14
Interview Tracker,com.interview.tracker.service,EmailService,2,682,9,85,0,144,9,49,0,11
Interview Tracker,com.interview.tracker.service,UserService,926,0,78,0,220,0,67,0,28,0
Interview Tracker,com.interview.tracker.service,InterviewService,0,198,10,44,0,39,10,25,0,7
Interview Tracker,com.interview.tracker.service,JobDescriptionService,1,156,5,29,0,32,5,20,0,8
Interview Tracker,com.interview.tracker.service,FeedbackService,7,342,9,53,1,61,9,33,0,11
Interview Tracker,com.interview.tracker.config,SecurityConfig,0,267,0,0,0,29,0,9,0,9
Interview Tracker,com.interview.tracker.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
Interview Tracker,com.interview.tracker.config,CorsConfig.new WebMvcConfigurer() {...},0,48,0,0,0,6,0,2,0,2
Interview Tracker,com.interview.tracker.config,JwtConfig,0,25,0,0,0,5,0,4,0,4
